Algoritmo,Tamaño,Distribucion,Replica,Tiempo_ms,Memoria_MB
MergeSort,100000,aleatoria,9,495.8385999998427,1.6466751098632812
QuickSort,100000,aleatoria,10,518.8459000000876,4.143768310546875
MergeSort,100000,aleatoria,10,498.9709000001312,1.6466827392578125
QuickSort,100000,aleatoria,11,502.2040999992896,3.8636932373046875
MergeSort,100000,aleatoria,11,464.27370000128576,1.6466827392578125
QuickSort,100000,aleatoria,12,511.6273000003275,3.92596435546875
MergeSort,100000,aleatoria,12,485.9905000012077,1.6466751098632812
QuickSort,100000,aleatoria,13,573.1247999992775,3.5737686157226562
MergeSort,100000,aleatoria,13,540.9484000010707,1.6466903686523438
QuickSort,100000,aleatoria,14,499.5136999987153,3.5903701782226562
MergeSort,100000,aleatoria,14,486.2658999991254,1.6466751098632812
QuickSort,100000,aleatoria,15,495.01580000105605,4.201690673828125
MergeSort,100000,aleatoria,15,470.1033000001189,1.6467132568359375
QuickSort,100000,aleatoria,16,494.4384999998874,3.2724380493164062
MergeSort,100000,aleatoria,16,669.4009999991977,1.6466751098632812
QuickSort,100000,aleatoria,17,680.2375000006577,4.906745910644531
MergeSort,100000,aleatoria,17,758.2218999996257,1.6466751098632812
QuickSort,100000,aleatoria,18,795.97830000057,3.7306060791015625
MergeSort,100000,aleatoria,18,1236.4643000000797,1.6466751098632812
QuickSort,100000,aleatoria,19,1130.7498999995005,4.0286712646484375
MergeSort,100000,aleatoria,19,1113.5854000003746,1.6466751098632812
QuickSort,100000,aleatoria,20,1066.5293000001839,5.115150451660156
MergeSort,100000,aleatoria,20,965.3935000005731,1.6466751098632812
QuickSort,100000,aleatoria,21,1172.6629000004323,2.727752685546875
MergeSort,100000,aleatoria,21,991.132999999536,1.6466903686523438
QuickSort,100000,aleatoria,22,1163.3285999996588,4.351814270019531
MergeSort,100000,aleatoria,22,528.8727000006475,1.6467208862304688
QuickSort,100000,aleatoria,23,571.0314999996626,3.3417129516601562
MergeSort,100000,aleatoria,23,490.69450000024517,1.6466751098632812
QuickSort,100000,aleatoria,24,471.8255000007048,3.2973785400390625
MergeSort,100000,aleatoria,24,509.13580000087677,1.6466903686523438
QuickSort,100000,aleatoria,25,461.69340000051307,2.683929443359375
MergeSort,100000,aleatoria,25,559.4113000006473,1.6466827392578125
QuickSort,100000,aleatoria,26,540.9552000000986,2.9247589111328125
MergeSort,100000,aleatoria,26,539.805600001273,1.6466751098632812
QuickSort,100000,aleatoria,27,495.65309999888996,3.3175506591796875
MergeSort,100000,aleatoria,27,480.70060000100057,1.6467208862304688
QuickSort,100000,aleatoria,28,456.85279999997874,3.401580810546875
MergeSort,100000,aleatoria,28,477.9190999997809,1.6466827392578125
QuickSort,100000,aleatoria,29,468.77429999949527,3.266845703125
MergeSort,100000,aleatoria,29,491.5330999992875,1.6466751098632812
